-d-c----x---- : /atf_logger : mediatek,atf_logger : drivers/misc/mediatek/atf_log/atf_logger.c : atf_log-y : none
-dDc----x---- : /cpus/cpu@1 : arm,cortex-a53 : arch/arm64/kernel/topology.c : arm64-obj-y : none

-dDc--------- : /cpus/cpu@2 : arm,cortex-a53 : arch/arm/kernel/topology.c : CONFIG_ARM_CPU_TOPOLOGY : none
-dDc----x---- : /cpus/cpu@2 : arm,cortex-a53 : arch/arm64/kernel/topology.c : arm64-obj-y : none

-dDc--------- : /cpus/cpu@3 : arm,cortex-a53 : arch/arm/kernel/topology.c : CONFIG_ARM_CPU_TOPOLOGY : none
-dDc----x---- : /cpus/cpu@3 : arm,cortex-a53 : arch/arm64/kernel/topology.c : arm64-obj-y : none

-dDc--------- : /cpus/idle-states/cluster-sleep-0 : arm,idle-state : drivers/cpuidle/cpuidle-arm.c : CONFIG_ARM_CPUIDLE : none
-dDc--------- : /cpus/idle-states/cluster-sleep-0 : arm,idle-state : drivers/cpuidle/cpuidle-big_little.c : CONFIG_ARM_BIG_LITTLE_CPUIDLE : none
-dDcC-------- : /cpus/idle-states/cluster-sleep-0 : arm,idle-state : drivers/cpuidle/cpuidle-mt67xx_v2.c : CONFIG_MACH_MT6757 : none
-dDcC-------- : /cpus/idle-states/cluster-sleep-0 : arm,idle-state : drivers/cpuidle/cpuidle-mt67xx_v2.c : CONFIG_MACH_KIBOPLUS : none
-dDc--------- : /cpus/idle-states/cluster-sleep-0 : arm,idle-state : drivers/cpuidle/cpuidle-mt67xx_v3.c : CONFIG_MACH_MT6799 : none
-dDc--------- : /cpus/idle-states/cluster-sleep-0 : arm,idle-state : drivers/cpuidle/cpuidle-mt81xx_v2.c : CONFIG_MACH_MT8167 : none

-dDc--------- : /cpus/idle-states/cpu-sleep-0-0 : arm,idle-state : drivers/cpuidle/cpuidle-arm.c : CONFIG_ARM_CPUIDLE : none
-dDc--------- : /cpus/idle-states/cpu-sleep-0-0 : arm,idle-state : drivers/cpuidle/cpuidle-big_little.c : CONFIG_ARM_BIG_LITTLE_CPUIDLE : none
-dDcC-------- : /cpus/idle-states/cpu-sleep-0-0 : arm,idle-state : drivers/cpuidle/cpuidle-mt67xx_v2.c : CONFIG_MACH_MT6757 : none
-dDcC-------- : /cpus/idle-states/cpu-sleep-0-0 : arm,idle-state : drivers/cpuidle/cpuidle-mt67xx_v2.c : CONFIG_MACH_KIBOPLUS : none
